"id_block" "species" "sample_size" "slope_temperature" "slope_rainfall" "abs_slope_temperature" "abs_slope_rainfall" "fam_sys_known50" "fam_sys_inferred50" "coop_num" "hand_wing_index" "migration" "mass" "logmass" "latitude" "abs_latitude"
"66" "10481_2" "Gyps_fulvus" 9 0.228128756464333 -0.0291917139905667 0.228128756464333 0.0291917139905667 "no_fam" "1_no_fam" 1 39.2 1 7436 8.91408834884133 44.35 44.35
"67" "10482_1" "Strix_nebulosa" 19 0.317455862180667 0.169218187887333 0.317455862180667 0.169218187887333 "family" "2_family" 2 31.9 1 1061.9 6.9678150354098 64.21667 64.21667
"68" "1049_1" "Grus_americana" 26 0.075025308732 0.0432537748511667 0.075025308732 0.0432537748511667 "family" "2_family" 2 42.7 3 5826 8.67008593751938 34.47389 34.47389
"69" "10501_1" "Gypaetus_barbatus" 24 -0.00180265176649967 -0.000514469796589667 0.00180265176649967 0.000514469796589667 "family" "2_family" 2 49.5 2 5695 8.64734387588128 42.616667 42.616667
"70" "10508_1" "Aegypius_monachus" 13 0.199708121598833 -0.0996360141366667 0.199708121598833 0.0996360141366667 NA NA NA 41.1 1 9320.6 9.13998228328989 43.93333 43.93333
"71" "10518_2" "Aegypius_monachus" 9 -0.0197930172605967 0.00906808592256667 0.0197930172605967 0.00906808592256667 NA NA NA 41.1 1 9320.6 9.13998228328989 40.6875 40.6875
"72" "10521_2" "Elanus_caeruleus" 18 -0.347022988692067 -0.00630302123566667 0.347022988692067 0.00630302123566667 "no_fam" "1_no_fam" 1 45.2 2 259.8 5.5599121042365 44.69806 44.69806
"73" "10526_1" "Aquila_heliaca" 24 0.00392848078606667 -0.003520483752598 0.00392848078606667 0.003520483752598 "family" "2_family" 2 39.5 3 3125.2 8.04725356012259 46.86028 46.86028
"74" "10529_1" "Aquila_heliaca" 21 -0.0147391500720667 0.0207125201893 0.0147391500720667 0.0207125201893 "family" "2_family" 2 39.5 3 3125.2 8.04725356012259 48.72806 48.72806
"75" "10533_3" "Bubo_bubo" 13 0.129359651881 -0.0238256771237733 0.129359651881 0.0238256771237733 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 50.88194 50.88194
"76" "10535_1" "Bubo_bubo" 25 -0.00277659838068667 -0.00436127380536333 0.00277659838068667 0.00436127380536333 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 50.88194 50.88194
"77" "10550_1" "Gypaetus_barbatus" 9 -0.335225898812 0.0151227020306333 0.335225898812 0.0151227020306333 "family" "2_family" 2 49.5 2 5695 8.64734387588128 46.00833 46.00833
"78" "10573_1" "Fulica_americana" 25 0.0397805907636333 0.0111651685335667 0.0397805907636333 0.0111651685335667 "no_fam" "1_no_fam" 1 36.3 2 636.7 6.45629858702298 19 19
"79" "10587_2" "Strix_nebulosa" 16 -0.179963363941333 0.65674873322 0.179963363941333 0.65674873322 "family" "2_family" 2 31.9 1 1061.9 6.9678150354098 66.23333 66.23333
"80" "10587_3" "Strix_nebulosa" 9 -1.21961843166333 0.086911653418 1.21961843166333 0.086911653418 "family" "2_family" 2 31.9 1 1061.9 6.9678150354098 66.23333 66.23333
"81" "10616_1" "Gyps_fulvus" 19 0.0589388289386667 -0.01306450405742 0.0589388289386667 0.01306450405742 "no_fam" "1_no_fam" 1 39.2 1 7436 8.91408834884133 40.55833 40.55833
"82" "10645_1" "Pandion_haliaetus" 30 -0.10375192284443 0.0298264133535333 0.10375192284443 0.0298264133535333 "no_fam" "1_no_fam" 1 44.9 3 1483.2 7.30195719481159 42.06667 42.06667
"83" "10649_3" "Gyps_fulvus" 19 -0.00686809434526667 0.0210695250612667 0.00686809434526667 0.0210695250612667 "no_fam" "1_no_fam" 1 39.2 1 7436 8.91408834884133 40.23333 40.23333
"84" "10664_1" "Gyps_fulvus" 19 0.0810564490100667 -0.0216673425747667 0.0810564490100667 0.0216673425747667 "no_fam" "1_no_fam" 1 39.2 1 7436 8.91408834884133 41.58333 41.58333
"85" "10666_1" "Gyps_fulvus" 17 -0.00153563892 -0.0244218102214 0.00153563892 0.0244218102214 "no_fam" "1_no_fam" 1 39.2 1 7436 8.91408834884133 46.23333 46.23333
"86" "10669_1" "Bubo_bubo" 32 -0.00165541522176667 0.0265638198402333 0.00165541522176667 0.0265638198402333 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 50.63806 50.63806
"87" "1067_1" "Oxyura_jamaicensis" 24 -0.293473137682 0.102547627760667 0.293473137682 0.102547627760667 "no_fam" "1_no_fam" 1 41.9 1 608.2 6.41050377524326 20 20
"88" "10670_1" "Falco_peregrinus" 28 0.0111515548549 -0.00046209124246 0.0111515548549 0.00046209124246 "family" "2_family" 2 52.2 2 760 6.63331843328038 50.63806 50.63806
"89" "10671_1" "Bubo_bubo" 45 -0.0143779118084967 0.0111496867155 0.0143779118084967 0.0111496867155 "no_fam" "1_no_fam" 1 33 1 2668.5 7.889271795774 50.10889 50.10889
"90" "10674_1" "Aquila_chrysaetos" 10 0.0502469393420333 0.0169675017684767 0.0502469393420333 0.0169675017684767 "family" "2_family" 2 36.7 2 4248 8.35420356292178 37.56667 37.56667
"91" "10779_1" "Ciconia_ciconia" 9 -0.0360147509622667 0.00241515087175 0.0360147509622667 0.00241515087175 NA NA NA 45.9 3 3445.8 8.14491137709831 49.66833 49.66833
"92" "10784_1" "Haliaeetus_albicilla" 12 -0.0402317327906 0.0024705347695 0.0402317327906 0.0024705347695 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 54.11667 54.11667
"93" "10784_2" "Haliaeetus_albicilla" 30 -0.000912688024083333 -0.02081273210288 0.000912688024083333 0.02081273210288 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 54.11667 54.11667
"94" "10784_3" "Haliaeetus_albicilla" 14 0.0260262635462333 0.0043368213545 0.0260262635462333 0.0043368213545 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 54.11667 54.11667
"95" "10786_2" "Haliaeetus_albicilla" 9 0.0587023623703333 0.163409419880667 0.0587023623703333 0.163409419880667 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 46.15 46.15
"96" "10787_1" "Haliaeetus_albicilla" 20 0.00719015881333333 -0.00589289719045333 0.00719015881333333 0.00589289719045333 "no_fam" "1_no_fam" 1 38 2 4729.3 8.46153247899081 47.14972 47.14972
